Sentence	Emotion
서해 수자원도 한류라서 그동안 불법조업 방치했나?	분노
 니가 인간이가.	분노
강아지를 때리고 유기하는것만 학대는 아닙니다!	분노
하여간 우리나라 교육엔 미래가 없어!!	분노
채널에이 군부 개인거 인증하냐 동아일보야!!	분노
 비싼 요금들 다 어디로 처먹는지들 ㅉㅉ	분노
김기춘이랑 우병우 이색히들은 공개처형시키고싶다	분노
닭년이 조언 구했다고 했는데 먼개소리냐	분노
 자백 안 해도 그동안 나온 증거만으로도 무기징역감이다!	분노
"청와대는 압수대상안됨,,,"	분노
 야 맹구들아 자그만치 천억이다	분노
다 조사해봐라롯데호텔 씨씨티비확인해봐라	분노
그게 대통령의 할일 아닌가?	분노
도대체얼마를쳐먹으면저렇게자연스럽게말할수있는거냐?	분노
 특검은 가혹하게 다스려라	분노
조윤선이야말로 박근혜 최순실 국정농단의 부역자야 그동안 호가호위해서 좋디?	분노
할수있는못땐짓은 다했구나~	분노
드러운 좃선tv 기사내용이네..	분노
 이런 뉴스 쓰지마라 공무원들 국민혈세 나랏돈 빼먹을 핑계만준다	분노
 걍 환불이라고해야지!!	분노
위증하면 너도 300여명 아이들을 죽인 살인자다.	분노
일본... 절대 잊지 않겠다!!	분노
이건 대통령이 아니라 도둑년이구만.	분노
미국에선 원 플러스 원도 하면서!!	분노
 저런 인간들이 후보라니...	분노
둘다 나쁜 인간들인데 패륜아집단이 더 더러운새끼들이지	분노
무슬림 극단주의는 암덩어리 같은 존재	분노
 나라를 좀먹는 일베충들이다.	분노
 대가리에 우동사리들었냐.	분노
교도소장 어떻게 좀 해야 합니다.	분노
 니가 죽인거야!	분노
감히 그네 따위랑 날 비교해?	분노
 악풀들 자신들 먼저 리콜해라.	분노
 더러워서 탄핵도 못기다리겠다.	분노
 아직도 저 돼지일가가 인간인줄알고 대화라는게 가능하다고 생각하는 머저리들이 있는게 놀라움.	분노
 꼭 벌받을겁니다 당신	분노
개공장을 다 폐쇄해라.	분노
진심 씨-발-ㅡ새-끼들...	분노
 요즘은 개나 소나 변호사 다 하니깐 저런 개 같은 변호사가 있군	분노
 그리고 미국 이민 가버려!	분노
호들갑 떨지 마라!!!	분노
 국가적인 원수!	분노
정부새기들아 효과없으면 다시 내려야지	분노
 중국산이 훨 낫겠다.	분노
악플만키우잖아요ㅡㅡ	분노
"애라이 저거 훔쳐가는 놈들 , 천벌 받는다"	분노
지금의 혼란이 누구때문인데?	분노
어쩌피 국민들은 개돼지입니다.	분노
 공무원 놈들이 문제~~!!!	분노
공무집행 방해로 그냥 싹 다 집어 쳐 넣읍시다.	분노
어쩌라고 그 따그로 쳐만들고 쳐 팔고 새차로 바꺼주던가	분노
 기자야. 펑펑 폭탄처럼 터지고 있는데 전 국민을 호구로 아나.	분노
폰으로 얼마나 낚을라고!	분노
산재로 백혈병 걸린 직원 500만원 주는건 아깝고정유라 말 몇십억원은 안아깝고.	분노
조만간에 니네들이 반드시 천벌을 받을 것이고 망 할것이다~!!	분노
이름 더럽히지 마라.	분노
 언론이 가장빠르네 빌어쳐먹을 깡패국가	분노
나라꼴이 왜이럴까?	분노
차우찬은 제발 낄때껴라 ...	분노
모두에게 공개하라 ㅡ박근혜	분노
 이런 쳐 죽일놈들.	분노
 최순실이거 빼돌린재산 국가환수 시켜서 나라 빚갚자고!!	분노
정현욱이 오니 최형우가 나간 것도 무슨 의미 있지 않냐?	분노
 일본은 위안부 사과하라 외치고 들어와라	분노
수조원도둑놈을 놔두면 누굴처벌할수있는가	분노
진짜 노답이다.	분노
연설문을 보니 아무생각없는것같다.	분노
 부모의 인성수준이나 그 아들의 반성정도가 이미 도를 지나쳤는대 저 2명이 사람이냐?...	분노
 북한하고 잘해봐라.	분노
 강화해도 시원찮을법에 감경이라니..	분노
지네들이 뭐라고 저딴사진을 찍냐?	분노
입부터 털지말고 해라!!!!	분노
미국 불체자 추방해라!	분노
기다려? 쳐맞고싶냐ㅡㅡ	분노
이 돌으신년 빨리좀 끌어 내릴 수 없나...	분노
지긋지긋하다 문제 안되는걸로 문제제기하면 본인그룹 욕먹는것도 모르고 으휴 ㅉㅉ	분노
누진세라도폐지해라 진짜짜증난다	분노
멍청한넘들 왜 박근혜를 찍었냐???????????????????????????	분노
노대통령 탄핵때 뒤돌아 가면서 처 웃는 꼬라지 정말 그 입을 아주 찢 고 싶을 정도다!!!	분노
닭근혜도 쓰레기짓한거 맞는데 막말로 역대 전권들 다들 블랙리스트식의 인사및지원했잖아...	분노
 이러니 범죄자들이 판치지	분노
"5.18, 4.19때도 당신들은 집에서 놀았을거야.."	분노
박군혜리 순시리 이 둘이 이렇게 해먹는게 방관만한 관료들 모두 처벌받아야지.	분노
십베가리새끼들 잡아다가 멱따고 싶네.	분노
제발 저런짓 좀 하지맙시다	분노
26일 청와대 처들어가서 진짜 대 ㄱㅏ리잡고 끌고나와 광화문에서 사지를 갈기갈기 찢어버려야한다	분노
 박빠들 도대체 니들 논리가뭐냐 ?????	분노
이런상태오기전 물러나야하는게 정상아닌가??	분노
 정말 탄핵안되면 나라 뒤집어 질 줄 알아라...	분노
가혹같은소리하네18....	분노
 그렇게 살지마라 사람쳐죽여놓고 뭐하는거냐?	분노
 당신때문에 고통속에 죽어간 억울한 수많은 약자들을 기억해	분노
그래도 나한테 그러면 안되는거 아니였어?	분노
아 진짜 사람 아프게 하는 쓰레기들다 뒤졌으면 좋겠다	분노
내가 사람같지도 않았니?응?	분노
 부인이 자꾸 자기 혼자 더 놀다 온다고 합니다 ㅡㅡ	분노
인수인계고 모고 어느날 사표 던지고 나올거같네요.	분노
 그냥 떨어지자니 복수하고싶네요	분노
또읽씹이네요	분노
 쓰레빠가 왠말입니까.	분노
 진짜 빡쳐뒤질꺼같아요	분노
 제가 개한테 무시당할사람이 아니라서 더더욱 화가나구요	분노
"그딴거 제발 ,방잡고 니네둘이해라"	분노
"근데 그 전여자친구가 편지를썼다는데여자친구로써 곰신으로써 뭔가 화가나네요,."	분노
2년다닌 회사 때려쳤습니다	분노
똥 싸는 걸 도대체 왜 봄?	분노
 제발그리고 음료수 가튼거 쏟지마세요	분노
순간순간 치밀어오른다	분노
 이런 개같은경우!	분노
 아빠가 맨날 잔소리에 갈구고 내가 아빠한테 무슨 말만 하면 눈감는데 그러는거 볼 때마다 화난다.	분노
 지금 임신 5개월 인데 그냥 이대로 죽고싶습니다.	분노
나치때 인간 생체실험이랑일제강점기 민중들 대상으로 한 생체실험맥락이 같은 거 이해못하냐?	분노
사과 필요없다니까?	분노
진짜 너무분합니다	분노
 나보다 2살 쳐 많길래 참는다	분노
 진짜 화나는데 이거 누가봐도 잘못한 말 맞죠?	분노
참고참고 다니다가 결국 그만둔다.	분노
 승질이 뻗쳐서 증말0	분노
몰카가 진짜면 큰일인데요.....	분노
18년동안진짜참고살았는데 나쁜놈바람이나피우고큰소리치며사니좋냐	분노
그 사람의 본성이다 기억해라	분노
 어떤식으로 전남편을 아니 그자식을 제대로 법적대응을 할수있을까요 ?	분노
제발 이 평화를 깨지 마시지 왜 또 지랄인지...	분노
 난 이렇게 힘든데 새로운사람이랑 히히덕 거리고 있을생각하니속이 뒤집어지네요	분노
죽여버리겠어!!	분노
너무나 통탄할 일이다.	분노
저는 화장을 하지도않고 아무것도안하는데 가방에있다는이유만으로도뺏겼어요	분노
그 강간범은 당시가 기억이 나지 않는다고 말합니다.	분노
 왜자꾸 케익을 사와!!	분노
다음버스 기다리면서 너무 화가나서요..	분노
정말 죽이고싶고 죽이고싶고 죽이고싶습니다	분노
제대로 이야기해보지도 않고 떠나간 남자친구에 대한 분노가 사그라들지가 않아요.	분노
몇시간동안 손님머리카락 한올도안보이더니꼭 뭐좀 먹으려고하면 손님들 들이닥치더라	분노
조만간 소액사기 친 인간 꼭 돈 다 받을 꺼에요.	분노
정준영 무죄면 다시 1박2일 나오게 해주세요 . 짜증나는년	분노
박근혜한테 호통좀 쳐줘요!!!	분노
저런 쓰레기들 진짜 암것도 못하게 해야한다	분노
기상청접어라 아예 너희들 무슨자격으로 일하냐	분노
사당 진출입로 폐쇄해라	분노
차라리 예보를 하지마라 날더운데 개약오르네	분노
G5 유저들 교환이나 해줘라 개...새들아	분노
여자를 혐오해서가 아니라 가해자가 정신병자인거다 나도 여자지만 저런 억지는 짜증난다	분노
대응하지 말고 지금이라도 내려와라	분노
계란값 헐값일때 빵값 안내렸잖아요	분노
이참에 삼성이재용 뜨거운 맛을보여줘야한다	분노
일베와 국정원 댓글부대는 다음정권때 철저한 조사 필요하다	분노
얘까지 대통령 해먹으면 그땐 끝장이다	분노
위증 걸리면 사형시켜야 구라 안칠꺼다	분노
나 청와대 한번만들여보내주면안대냐 닭근혜 아구창 함만때리자	분노
언제부터 품위같은게 있었다고	분노
도대체 이승연은 왜 나오지	분노
그냥 거기서 썩어라 올 생각도 갈 생각말고 제발	분노
중국 욕할거 없는 바퀴벌레 새끼들 어쩌면 그 이하일수도	분노
정준영 방송계에서 영구퇴출시켜야된다	분노
얼굴에 대고 통화하다 터져야 정신차릴인간들	분노
저렇게 다이어트하고 이쁘면 뭐함 역사도 모르는데	분노
월곶피아노속셈학원 원장은 애들 태우는 학원차로 음주운전한다	분노
국민대사기 정부 박근혜 당장 탄핵하라.	분노
양심이 없어 이건 매로도 안된다	분노
전기료나 내려줘라 에어컨이나 제대로 틀게	분노
떳떳하면 숨기려고 안하겠지.	분노
싸게팔면 저딴짓 하겠나 세금을 너무걷으니 문제지	분노
누구를 위한 개정인가?	분노
사드 배치보다 이게 더 동북아시아에 위협주는 행동아닌가?	분노
제목만봐도 욕이 절로나오네요	분노
미용게이트 어쩌고 집어치우고 세월호 당일 어떠것들이 구조못하게 했는지 밝혀내라고 쓰레기들아!!!!!!!!	분노
아 진짜 테러리스트 죄다 색출해서말려 죽여야 한다	분노
"미친, 고작 생각해낸 핑계가 기억못한다는 말이냐??!!"	분노
우리나라 노인들은 도움되는게 없다 진짜 후..	분노
진짜 무섭고 소름돋는다 자기 자식이어도 저런 소리를 할 수 있을까...	분노
콩가루라고 붙이기도 아까운 집안이다.	분노
성인 이기에 법적 처벌 받아야한다	분노
똘아이들... 골프공이랑 홀속으로 빨려들어갈 것들...	분노
가면벗어라 니네당당하다며??왜얼굴가리냐	분노
누누히 말하지만 사생은 팬이 아님 그냥 스토킹범죄자일뿐	분노
공범들이들어나고있는데 주범이없을수가있나???	분노
중국이 진짜 보복들어오면 불법어업으로 넘어오는 중국해적어선들 다 함포도 침몰시켜 수장해야한다.	분노
투지라고는 찾아볼 수 없는것들	분노
탄핵 안가면 300만 촛불이다!!!!!!	분노
자동문으로 바꾸면서 얼마나 헤쳐드실라고???	분노
정상적인 뇌구조라면 적어도 이기사에는 미안해서라도 악플 못 달겠다.	분노
와서 벌 받고 전재산뺏기고나서 보내주지말라고 애원해도 덴마크에 쳐박혀살게해줘라	분노
세금은 여기저기서 다떼가는데 떼감과에 동시에 저런데에 한방에 날려버리니 안빡1칠수가없다.	분노
더러운 쥐와 닭을 철저히 수사하여 평생 감옥에서 썩혀야한다	분노
